step,time,y,delta,Fy,static_Fy,rel_err
1,0.005,0.139877375,0.0,0.0,0.0,0.0
2,0.01,0.1395095,0.0,0.0,0.0,0.0
3,0.015,0.13889637500000002,0.0,0.0,0.0,0.0
4,0.02,0.13803800000000002,0.0,0.0,0.0,0.0
5,0.025,0.13693437500000002,0.0,0.0,0.0,0.0
6,0.03,0.13558550000000003,0.0,0.0,0.0,0.0
7,0.035,0.13399137500000002,0.0,0.0,0.0,0.0
8,0.04,0.13215200000000002,0.0,0.0,0.0,0.0
9,0.045,0.130067375,0.0,0.0,0.0,0.0
10,0.05,0.1277375,0.0,0.0,0.0,0.0
11,0.055,0.125162375,0.0,0.0,0.0,0.0
12,0.06,0.12234199999999999,0.0,0.0,0.0,0.0
13,0.065,0.11927637499999999,0.0007236250000000055,0.0,0.003940164909717219,1.0
14,0.07,0.11596549999999999,0.00403450000000001,0.0,0.12135172709424648,1.0
15,0.075,0.11242790591057347,0.007572094089426523,0.33749254482588004,0.423214858296208,0.2025503400694191
16,0.08,0.10885307476993121,0.011146925230068785,0.8901949884854402,0.9078442450788333,0.019440842070723847
17,0.085,0.10549030868961688,0.014509691310383113,1.5420809626171206,1.523389048821885,0.012269954158913582
